X:	U:	P:	RO:	E:	Q:
1.572	1.15542e-46	0.285714	0.357143	1.2	3.60182e-47
1.573	2.82025e-47	0.285714	0.357143	1.2	8.79134e-48
1.574	6.88462e-48	0.285714	0.357143	1.2	2.14603e-48
1.575	1.68077e-48	0.285714	0.357143	1.2	5.23909e-49
1.576	4.10354e-49	0.285714	0.357143	1.2	1.2791e-49
1.577	1.0019e-49	0.285714	0.357143	1.2	3.12297e-50
1.578	2.44621e-50	0.285714	0.357143	1.2	7.62499e-51
1.579	5.97252e-51	0.285714	0.357143	1.2	1.86169e-51
1.58	1.45816e-51	0.285714	0.357143	1.2	4.5453e-52
1.581	3.55984e-52	0.285714	0.357143	1.2	1.10968e-52
1.582	8.69013e-53	0.285714	0.357143	1.2	2.70897e-53
1.583	2.12123e-53	0.285714	0.357143	1.2	6.61268e-54
1.584	5.17739e-54	0.285714	0.357143	1.2	1.61404e-54
1.585	1.26355e-54	0.285714	0.357143	1.2	3.93922e-55
1.586	3.08345e-55	0.285714	0.357143	1.2	9.61315e-56
1.587	7.52388e-56	0.285714	0.357143	1.2	2.34575e-56
1.588	1.83574e-56	0.285714	0.357143	1.2	5.72349e-57
1.589	4.47865e-57	0.285714	0.357143	1.2	1.39639e-57
1.59	1.09259e-57	0.285714	0.357143	1.2	3.40661e-58
1.591	2.66529e-58	0.285714	0.357143	1.2	8.31027e-59
1.592	6.50157e-59	0.285714	0.357143	1.2	2.02718e-59
1.593	1.58593e-59	0.285714	0.357143	1.2	4.9449e-60
1.594	3.86857e-60	0.285714	0.357143	1.2	1.20621e-60
1.595	9.43677e-61	0.285714	0.357143	1.2	2.94232e-61
1.596	2.30203e-61	0.285714	0.357143	1.2	7.17745e-62
1.597	5.61589e-62	0.285714	0.357143	1.2	1.75093e-62
1.598	1.37011e-62	0.285714	0.357143	1.2	4.27164e-63
1.599	3.3429e-63	0.285714	0.357143	1.2	1.0422e-63
1.6	8.15697e-64	0.285714	0.357143	1.2	2.54298e-64
1.601	1.99056e-64	0.285714	0.357143	1.2	6.20549e-65
1.602	4.85811e-65	0.285714	0.357143	1.2	1.51444e-65
1.603	1.18578e-65	0.285714	0.357143	1.2	3.69637e-66
1.604	2.8946e-66	0.285714	0.357143	1.2	9.02286e-67
1.605	7.06677e-67	0.285714	0.357143	1.2	2.20273e-67
1.606	1.72543e-67	0.285714	0.357143	1.2	5.37804e-68
1.607	4.21328e-68	0.285714	0.357143	1.2	1.31321e-68
1.608	1.02893e-68	0.285714	0.357143	1.2	3.20689e-69
1.609	2.51298e-69	0.285714	0.357143	1.2	7.83207e-70
1.61	6.13801e-70	0.285714	0.357143	1.2	1.91296e-70
1.611	1.49933e-70	0.285714	0.357143	1.2	4.67269e-71
1.612	3.66266e-71	0.285714	0.357143	1.2	1.14145e-71
1.613	8.94784e-72	0.285714	0.357143	1.2	2.78852e-72
1.614	2.18605e-72	0.285714	0.357143	1.2	6.81255e-73
1.615	5.34091e-73	0.285714	0.357143	1.2	1.66442e-73
1.616	1.30492e-73	0.285714	0.357143	1.2	4.06656e-74
1.617	3.1883e-74	0.285714	0.357143	1.2	9.93577e-75
1.618	7.79007e-75	0.285714	0.357143	1.2	2.42763e-75
1.619	1.90339e-75	0.285714	0.357143	1.2	5.93153e-76
1.62	4.65065e-76	0.285714	0.357143	1.2	1.44929e-76
1.621	1.13632e-76	0.285714	0.357143	1.2	3.54113e-77
1.622	2.77645e-77	0.285714	0.357143	1.2	8.65226e-78
1.623	6.7839e-78	0.285714	0.357143	1.2	2.11407e-78
1.624	1.65757e-78	0.285714	0.357143	1.2	5.16546e-79
1.625	4.05011e-79	0.285714	0.357143	1.2	1.26212e-79
1.626	9.89618e-80	0.285714	0.357143	1.2	3.0839e-80
1.627	2.41811e-80	0.285714	0.357143	1.2	7.5354e-81
1.628	5.90878e-81	0.285714	0.357143	1.2	1.84129e-81
1.629	1.44389e-81	0.285714	0.357143	1.2	4.49937e-82
