time	tau
0.180658	0.000177323
0.180835	0.000173255
0.181008	0.000180665
0.181189	0.000178121
0.181367	0.00017316
0.18154	0.000179835
0.18172	0.000178343
0.181899	0.000172939
0.182072	0.000179108
0.182251	0.000178969
0.18243	0.000172794
0.182602	0.000178395
0.182781	0.000179754
0.182961	0.000172635
0.183133	0.000177692
0.183311	0.000182487
0.183493	0.000172674
0.183666	0.000176724
0.183843	0.000184127
0.184027	0.0001724
0.184199	0.000175817
0.184375	0.000186822
0.184562	0.000172179
0.184734	0.000174713
0.184909	0.00018895
0.185098	0.000171832
0.18527	0.000173645
0.185443	0.000187345
0.185631	0.000173718
0.185804	0.000173854
0.185978	0.00018598
0.186164	0.000174111
0.186338	0.000173638
0.186512	0.00018478
0.186697	0.000175482
0.186872	0.000173689
0.187046	0.000183639
0.187229	0.000175803
0.187405	0.000173482
0.187579	0.000182629
0.187761	0.000176953
0.187938	0.000173477
0.188112	0.000181648
0.188293	0.000177153
0.188471	0.000173252
0.188644	0.00018079
0.188825	0.000178104
0.189003	0.00017319
0.189176	0.000179941
0.189356	0.000178204
0.189534	0.000172945
0.189707	0.000179215
0.189886	0.000178966
0.190065	0.000172828
0.190238	0.000178483
0.190417	0.000179217
0.190596	0.000172596
0.190768	0.000177841
0.190946	0.000182274
0.191128	0.000172714
0.191301	0.00017685
0.191478	0.000183644
0.191662	0.00017241
0.191834	0.000175985
0.19201	0.000186472
0.192197	0.000172238
0.192369	0.000174878
0.192544	0.000188621
0.192732	0.000171797
0.192904	0.000173786
0.193078	0.000187596
0.193265	0.000173473
0.193439	0.00017383
0.193613	0.000186191
0.193799	0.000173969
0.193973	0.000173646
0.194147	0.000184969
0.194332	0.00017531
0.194507	0.000173688
0.194681	0.000183815
0.194864	0.000175684
0.19504	0.000173493
0.195214	0.000182788
0.195396	0.000176812
0.195573	0.000173484
0.195747	0.000181797
0.195928	0.000177061
0.196105	0.000173269
0.196279	0.000180925
0.19646	0.000177991
0.196638	0.000173205
0.196811	0.000180069
0.196991	0.000178136
0.197169	0.000172969
0.197342	0.000179329
0.197521	0.000178881
0.1977	0.000172851
0.197873	0.000178591
0.198052	0.000178931
0.198231	0.000172595
0.198403	0.000177969
0.198581	0.000181858
0.198763	0.000172719
0.198936	0.000177005
0.199113	0.000183269
0.199296	0.000172442
0.199468	0.000176146
0.199645	0.000186009
0.199831	0.000172282
0.200003	0.000175065
0.200178	0.000188149
0.200366	0.000171871
0.200538	0.000173987
0.200712	0.000187876
0.2009	0.000173122
0.201073	0.00017378
0.201247	0.000186427
0.201433	0.000173886
0.201607	0.000173674
0.201781	0.000185175
0.201966	0.000175058
0.202141	0.00017367
0.202315	0.000184011
0.202499	0.000175615
0.202674	0.00017352
0.202848	0.000182961
0.203031	0.0001766
0.203207	0.000173478
0.203381	0.000181966
0.203563	0.000177015
0.20374	0.000173301
0.203913	0.000181071
0.204094	0.000177817
0.204272	0.00017321
0.204445	0.000180214
0.204625	0.000178109
0.204804	0.000173006
0.204977	0.000179452
0.205156	0.000178741
0.205335	0.000172867
0.205508	0.000178715
0.205686	0.000178922
0.205865	0.000172636
0.206038	0.00017807
0.206216	0.000181237
0.206397	0.000172684
0.20657	0.000177185
0.206747	0.000183022
0.20693	0.000172498
0.207103	0.000176296
0.207279	0.000185443
0.207464	0.000172309
0.207637	0.000175268
0.207812	0.000187737
0.208	0.000171953
0.208172	0.000174185
0.208346	0.000188167
0.208534	0.000172733
0.208707	0.000173724
0.20888	0.000186675
0.209067	0.000173829
0.209241	0.000173711
0.209415	0.000185391
0.2096	0.000174768
0.209775	0.000173646
0.209948	0.000184219
0.210133	0.000175569
0.210308	0.000173556
0.210482	0.000183142
0.210665	0.000176355
0.210841	0.000173466
0.211015	0.000182144
0.211197	0.00017699
0.211374	0.00017334
0.211547	0.000181224
0.211728	0.000177612
0.211906	0.00017321
0.212079	0.000180368
0.21226	0.000178102
0.212438	0.000173048
0.212611	0.00017958
0.21279	0.000178576
0.212969	0.000172879
0.213142	0.000178847
0.213321	0.00017893
0.2135	0.000172682
